============================================================
OVERALL (test set — last 2 weeks)
============================================================
  RMSE:                  9.33 trips/hr
  MAE:                   3.57 trips/hr
  MAPE:                 49.4%
  Avg trip volume:      21.20 trips/hr  (full dataset)

============================================================
  Zone     RMSE      MAE     MAPE   Avg Vol
   123     1.43     1.00    55.0%      0.96
    78     1.39     1.00    53.4%      1.31
    22     1.39     0.99    48.0%      1.05
   248     1.37     0.97    53.5%      0.99
   117     1.37     0.98    52.8%      1.06
   121     1.35     0.99    50.5%      0.94
   227     1.34     0.97    53.3%      1.01
   212     1.32     0.95    48.4%      1.11
   149     1.31     0.94    55.2%      0.72
    47     1.30     0.96    50.1%      1.02
   241     1.30     0.96    48.3%      1.02
   131     1.29     0.93    49.6%      0.94
   219     1.27     0.95    44.1%      1.41
    21     1.27     0.91    49.2%      0.73
   174     1.27     0.94    50.3%      0.94
   259     1.26     0.91    56.8%      0.90
   250     1.26     0.91    48.2%      1.01
   257     1.25     0.90    51.0%      0.86
   208     1.25     0.92    56.2%      0.85
   102     1.25     0.87    48.3%      0.91
   160     1.24     0.93    48.0%      1.09
   185     1.23     0.86    48.3%      0.66
   173     1.23     0.90    49.5%      0.95
   126     1.21     0.89    46.5%      0.98
   135     1.20     0.88    56.1%      0.79
    81     1.18     0.88    51.6%      0.86
    60     1.18     0.84    49.3%      0.82
   139     1.16     0.84    53.3%      0.67
   180     1.13     0.86    52.9%      0.79
   202     1.12     0.86    49.4%      0.73
    93     1.12     0.85    54.7%      3.00
    32     1.08     0.78    46.0%      0.72
   136     1.07     0.77    49.0%      0.79
    29     1.07     0.79    45.1%      0.75
     1     1.06     0.70    52.8%      0.69
    12     1.05     0.77    58.7%      1.92
   200     1.05     0.74    50.0%      0.60
   124     1.03     0.80    49.3%      0.78
    19     1.02     0.74    53.0%      0.57
   122     1.02     0.73    56.5%      0.61
   147     1.00     0.78    52.1%      0.76
   203     1.00     0.74    52.6%      0.62
   192     0.97     0.66    61.8%      0.39
    54     0.96     0.70    50.1%      0.60
    16     0.95     0.71    56.3%      0.42
    53     0.95     0.67    54.8%      0.48
   108     0.94     0.69    49.8%      0.61
     3     0.93     0.67    46.1%      0.54
    11     0.92     0.66    59.2%      0.41
    38     0.92     0.70    59.0%      0.53
    94     0.92     0.70    53.0%      0.58
    67     0.91     0.69    49.5%      0.64
   178     0.90     0.61    55.9%      0.35
    20     0.88     0.69    49.2%      0.66
   101     0.85     0.63    60.1%      0.39
   171     0.84     0.68    52.4%      0.46
   252     0.82     0.64    54.4%      0.41
   175     0.74     0.51    60.0%      0.29
   150     0.71     0.57    55.7%      0.43
   190     0.70     0.53    51.5%      0.50
    64     0.68     0.44    70.3%      0.22
     9     0.67     0.44    64.8%      0.23
   201     0.67     0.52    54.2%      0.35
   183     0.66     0.50    54.0%      0.33
   128     0.64     0.47    66.8%      0.20
   153     0.63     0.46    60.1%      0.26
    98     0.59     0.47    61.4%      0.34
   207     0.58     0.42    59.3%      0.41
    15     0.54     0.38    65.8%      0.21
   240     0.52     0.36    65.5%      0.16
    73     0.52     0.38    65.3%      0.21
   194     0.47     0.37    70.7%      0.28
     6     0.45     0.30    73.4%      0.13
    57     0.37     0.24    85.0%      0.12
   214     0.37     0.24    75.5%      0.06
   221     0.37     0.22    68.2%      0.08
   120     0.37     0.26    80.1%      0.11
    96     0.36     0.25    78.2%      0.11
   154     0.36     0.24    84.3%      0.09
    31     0.35     0.25    78.9%      0.14
    46     0.33     0.21    80.9%      0.09
     8     0.32     0.21    90.2%      0.07
    58     0.32     0.20    75.5%      0.07
   115     0.30     0.17    71.1%      0.04
   187     0.29     0.12    87.6%      0.01
    23     0.27     0.17    78.1%      0.04
    30     0.25     0.15    90.3%      0.03
   172     0.24     0.14    74.7%      0.03
   184     0.24     0.16    80.0%      0.07
   253     0.24     0.14    87.1%      0.05
    59     0.23     0.14    79.5%      0.03
   118     0.23     0.14    84.7%      0.03
   156     0.22     0.13    82.9%      0.02
   251     0.21     0.13    79.7%      0.02
   111     0.19     0.12    92.6%      0.02
   176     0.19     0.11    80.4%      0.01
    27     0.18     0.12    89.0%      0.04
   109     0.18     0.11    76.1%      0.01
   206     0.18     0.11    86.2%      0.02
   245     0.14     0.09    70.1%      0.02
     5     0.14     0.09    93.9%      0.00
    84     0.13     0.09    88.3%      0.00
   204     0.13     0.09    96.9%      0.00
     2     0.12     0.09    87.2%      0.01
   105     0.12     0.09    87.0%      0.00
   199     0.12     0.08    90.5%      0.00
    99     0.11     0.08     nan%      0.00
    44     0.11     0.08     nan%      0.00
============================================================
